display_id	session_id	subsession_id	display_number	data_summary	filtering	sorting	grouping	aggregations	projected_fields	session_id.1	user_id	project_id	curr_display_id	size	solution	data_layer	granularity_layer
1	1			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": []}"	"{""list"":[]}"	"{""list"":[]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	1	1	1			"{""solution"":""I AM BEAUTIFUL!!!!!!!"",""project_id"":1,""session_id"":1,""feedback"":""Hate you guys."",""user_id"":1}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	
2	1			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": []}"	"{""list"":[]}"	"{""list"":[{""field"":""eth_src"",""groupPriority"":0}]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	1	1	1			"{""solution"":""I AM BEAUTIFUL!!!!!!!"",""project_id"":1,""session_id"":1,""feedback"":""Hate you guys."",""user_id"":1}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 0.16473385856621947, 'group_attrs': ['eth_src'], 'ngroups': 2, 'agg_attrs': {}, 'size_mean': 4324.0}
3	1			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": []}"	"{""list"":[]}"	"{""list"":[{""field"":""eth_src"",""groupPriority"":0},{""field"":""ip_src"",""groupPriority"":1}]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	1	1	1			"{""solution"":""I AM BEAUTIFUL!!!!!!!"",""project_id"":1,""session_id"":1,""feedback"":""Hate you guys."",""user_id"":1}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 0.004504289000343205, 'group_attrs': ['eth_src', 'ip_src'], 'ngroups': 183, 'agg_attrs': {}, 'size_mean': 47.75690607734806}
4	2			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": []}"	"{""list"":[]}"	"{""list"":[]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	
5	2			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": []}"	"{""list"":[]}"	"{""list"":[{""field"":""eth_src"",""groupPriority"":0}]}"	"{""list"": [{""field"": ""length"", ""type"": ""avg""}]}"	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 0.16473385856621947, 'group_attrs': ['eth_src'], 'ngroups': 2, 'agg_attrs': {}, 'size_mean': 4324.0}
6	2			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": []}"	"{""list"":[]}"	"{""list"":[{""field"":""ip_src"",""groupPriority"":0}]}"	"{""list"": [{""field"": ""length"", ""type"": ""avg""}]}"	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 0.004504289000343205, 'group_attrs': ['ip_src'], 'ngroups': 181, 'agg_attrs': {}, 'size_mean': 47.75690607734806}
7	2			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": []}"	"{""list"":[]}"	"{""list"":[{""field"":""ip_src"",""groupPriority"":0}]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 0.004504289000343205, 'group_attrs': ['ip_src'], 'ngroups': 181, 'agg_attrs': {}, 'size_mean': 47.75690607734806}
8	2			"{""info_line"":[0.0,296],""eth_dst"":[0.0,1],""captured_length"":[0.0,1],""ip_src"":[0.0725712001,151],""sniff_timestamp"":[0.9955093603,88],""ip_dst"":[0.0,1],""number"":[0.992461033,296],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.0,1],""length"":[0.0,1],""highest_layer"":[0.0,1]}"	"{""list"": [{""field"": ""info_line"", ""term"": ""reply"", ""condition"": 16}]}"	"{""list"":[]}"	"{""list"":[{""field"":""ip_src"",""groupPriority"":0}]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 4.354937593403899e-07, 'group_attrs': ['ip_src'], 'ngroups': 151, 'agg_attrs': {}, 'size_mean': 1.9602649006622517}
10	2			"{""info_line"":[0.4592041803,545],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.3136253566,5],""ip_src"":[0.0230060046,107],""sniff_timestamp"":[0.9435430697,104],""ip_dst"":[0.0178907687,145],""tcp_stream"":[0.9955733384,206],""number"":[0.96878146,971],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.3136253566,5],""highest_layer"":[0.3010299957,2]}"	"{""list"": [{""field"": ""highest_layer"", ""term"": ""ICMP"", ""condition"": 512}, {""field"": ""highest_layer"", ""term"": ""ICMP"", ""condition"": 512}]}"	"{""list"":[]}"	"{""list"":[{""field"":""ip_src"",""groupPriority"":0}]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 0.00268495702823889, 'group_attrs': ['ip_src'], 'ngroups': 108, 'agg_attrs': {}, 'size_mean': 8.953703703703704}
12	2			"{""info_line"":[0.0015997002,8149],""eth_dst"":[0.3010299957,2],""tcp_srcport"":[0.3024522046,208],""captured_length"":[0.2121006893,10],""ip_src"":[0.0149353243,180],""sniff_timestamp"":[0.9908445628,118],""ip_dst"":[0.0010838292,3692],""tcp_stream"":[0.9955733384,206],""number"":[0.9999999535,8648],""tcp_dstport"":[0.0035361906,157],""interface_captured"":[0.0,0],""project_id"":[0.0,1],""eth_src"":[0.3010299957,2],""length"":[0.2121006893,10],""highest_layer"":[0.4771212547,3]}"	"{""list"": [{""field"": ""highest_layer"", ""term"": ""SMB"", ""condition"": 512}, {""field"": ""highest_layer"", ""term"": ""SMB"", ""condition"": 512}]}"	"{""list"":[]}"	"{""list"":[{""field"":""ip_src"",""groupPriority"":0}]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': 0.004504289000343205, 'group_attrs': ['ip_src'], 'ngroups': 181, 'agg_attrs': {}, 'size_mean': 47.75690607734806}
14	2			{}	"{""list"": [{""field"": ""highest_layer"", ""term"": ""SMB"", ""condition"": 512}, {""field"": ""highest_layer"", ""term"": ""SMB"", ""condition"": 512}, {""field"": ""tcp_dstport"", ""term"": ""443"", ""condition"": 8}]}"	"{""list"":[]}"	"{""list"":[{""field"":""ip_src"",""groupPriority"":0}]}"	null	"{""list"":[{""field"":""number""},{""field"":""sniff_timestamp""},{""field"":""eth_src""},{""field"":""eth_dst""},{""field"":""ip_src""},{""field"":""ip_dst""},{""field"":""tcp_srcport""},{""field"":""tcp_dstport""},{""field"":""tcp_stream""},{""field"":""highest_layer""},{""field"":""length""},{""field"":""info_line""}]}"	2	5	1			"{""solution"":""Port Scan, if target answers ping then scanner will try port 139 and 445 as well"",""project_id"":1,""session_id"":2,""feedback"":""real easy (if you know security)"",""user_id"":5}"	{'ip_src': {'entropy': 0.086826948273482571, 'nulls': 0.00046253469010175765, 'unique': 0.02093937991670523}, 'length': {'entropy': 0.054094410058565176, 'nulls': 0.0, 'unique': 0.0011563367252543941}, 'info_line': {'entropy': 0.98828951634875539, 'nulls': 0.0, 'unique': 0.94229879740980571}, 'tcp_dstport': {'entropy': 0.48112723585054129, 'nulls': 0.88818223866790014, 'unique': 0.1623578076525336}, 'sniff_timestamp': {'entropy': 0.52339500940613626, 'nulls': 0.0, 'unique': 0.013644773358001849}, 'number': {'entropy': 1.0, 'nulls': 0.0, 'unique': 1.0}, 'tcp_stream': {'entropy': 0.75960161737435106, 'nulls': 0.88829787234042556, 'unique': 0.21221532091097309}, 'eth_dst': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}, 'highest_layer': {'entropy': 0.039079429305607968, 'nulls': 0.0, 'unique': 0.00034690101757631821}, 'tcp_srcport': {'entropy': 0.56083148672938188, 'nulls': 0.88818223866790014, 'unique': 0.21509824198552224}, 'ip_dst': {'entropy': 0.85058980029314246, 'nulls': 0.00046253469010175765, 'unique': 0.42700138824618233}, 'eth_src': {'entropy': 0.034415669989791058, 'nulls': 0.0, 'unique': 0.00023126734505087883}}	{'size_var': nan, 'group_attrs': ['ip_src'], 'ngroups': 0, 'agg_attrs': {}, 'size_mean': nan}
